2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($)
333,DUT,Unalaska Airport,Unalaska,AK,1033.94
334,CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,351.68
335,BFM,Mobile Downtown,Mobile,AL,101.94
336,LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,424.73
337,OGD,Ogden-Hinckley,Ogden,UT,113.28
338,PAH,Barkley Regional,Paducah,KY,471.06
339,HYS,Hays Regional,Hays,KS,428.74
340,CDV,Merle K Mudhole Smith,Cordova,AK,415.41
341,BKG,Branson Airport,Branson,MO,113.43
342,GUC,Gunnison-Crested Butte Regional,Gunnison,CO,585.72
343,APN,Alpena County Regional,Alpena,MI,558.32
344,SHD,Shenandoah Valley Regional,Staunton,VA,423.45
345,WRG,Wrangell Airport,Wrangell,AK,435.5
346,MMH,Mammoth Lakes Airport,Mammoth Lakes,CA,236.11
346,PUB,Pueblo Memorial,Pueblo,CO,403.21
348,PIR,Pierre Regional,Pierre,SD,396.03
349,SLN,Salina Regional,Salina,KS,316.17
350,INL,Falls International Einarson Field,International Falls,MN,529.05
351,VEL,Vernal Regional,Vernal,UT,348.54
352,PQI,Presque Isle International,Presque Isle/Houlton,ME,499.89
353,PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,404.26
354,CGI,Cape Girardeau Regional,Cape Girardeau,MO,296.87
355,AKN,King Salmon Airport,King Salmon,AK,627.58
356,UIN,Quincy Regional-Baldwin Field,Quincy,IL,346.04
357,ENA,Kenai Municipal,Kenai,AK,658.5
358,JMS,Jamestown Regional,Jamestown,ND,373.07
359,CNY,Canyonlands Field,Moab,UT,282.35
360,ATY,Watertown Regional,Watertown,SD,360.48
361,DLG,Dillingham Airport,Dillingham,AK,554.17
362,OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,443.48
363,LBL,Liberal Mid-America Regional,Liberal,KS,357.64
364,YAK,Yakutat Airport,Yakutat,AK,381.35
365,MKK,Molokai,Hoolehua,HI,221.03
366,HYA,Barnstable Municipal-Boardman/Polando Field,Hyannis,MA,270.18
367,DVL,Devils Lake Regional,Devils Lake,ND,430.65
368,LWB,Greenbrier Valley,Lewisburg,WV,388.14
369,LNY,Lanai Airport,Lanai,HI,318.23
370,HOM,Homer Airport,Homer,AK,619.41
371,WYS,Yellowstone,West Yellowstone,MT,488.12
372,JHM,Kapalua Airport,Kapalua,HI,361.07
373,LEB,Lebanon Municipal,Lebanon-Hanover,NH,403.7
374,MWA,Veterans Airport of Southern Illinois,Marion/Herrin,IL,456.05
375,AUG,Augusta State,Augusta/Waterville,ME,428.25
376,BHB,Hancock County-Bar Harbor,Bar Harbor,ME,422.27
377,GST,Gustavus Airport,Gustavus,AK,175.52
378,VCT,Victoria Regional,Victoria,TX,405.77
379,ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,551.57
379,TEX,Telluride Regional,Telluride,CO,795.25
381,ADK,Adak,Adak Island,AK,1039.21
382,DDC,Dodge City Regional,Dodge City,KS,509.29
383,PVC,Provincetown Municipal,Provincetown,MA,396.3
384,RUT,Rutland - Southern Vermont Regional,Rutland,VT,390.58
385,RKD,Knox County Regional,Rockland,ME,443.84
386,CEZ,Cortez Municipal,Cortez,CO,513.22
386,IRK,Kirksville Regional,Kirksville,MO,467.8
388,VDZ,Valdez Pioneer Field,Valdez,AK,714.43
389,DEC,Decatur Airport,Decatur,IL,518.21
390,SHR,Sheridan County,Sheridan,WY,804.05
391,SLK,Adirondack Regional,Saranac Lake/Lake Placid,NY,451.93
392,DUJ,DuBois Regional,DuBois,PA,516
393,RIW,Riverton Regional,Riverton/Lander,WY,789.42
394,MAZ,Eugenio Maria de Hostos,Mayaguez,PR,458.84
395,MGW,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,WV,434.37
396,SDP,Sand Point,Sandpoint,AK,935.8
