2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($)
240,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,315.16
241,SPI,Abraham Lincoln Capital,Springfield,IL,223.12
242,CLL,Easterwood Field,College Station/Bryan,TX,292.2
243,EGE,Eagle County Regional,Eagle,CO,430.11
244,BET,Bethel Airport,Bethel,AK,351.91
245,PSM,Portsmouth International at Pease,Portsmouth,NH,106.32
246,HHH,Hilton Head Airport,Hilton Head,SC,297.67
247,YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,354.33
248,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,402.38
249,PUW,Pullman Moscow Regional,Pullman,WA,305.88
250,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,342.34
251,SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,275.65
252,EAT,Pangborn Memorial,Wenatchee,WA,296.68
253,LCH,Lake Charles Regional,Lake Charles,LA,341.14
254,TYR,Tyler Pounds Regional,Tyler,TX,305.12
255,ACK,Nantucket Memorial,Nantucket,MA,330.64
256,ACT,Waco Regional,Waco,TX,281.36
257,SIT,Sitka Rocky Gutierrez,Sitka,AK,363.96
258,MQT,Sawyer International,Marquette,MI,321.72
259,ROW,Roswell International Air Center,Roswell,NM,351.03
260,PIH,Pocatello Regional,Pocatello,ID,409.82
261,PGV,Pitt Greenville,Greenville,NC,282.08
262,SCC,Deadhorse Airport,Deadhorse,AK,443.78
263,ADQ,Kodiak Airport,Kodiak,AK,459.91
264,JLN,Joplin Regional,Joplin,MO,288.46
265,RDD,Redding Municipal,Redding,CA,424.36
266,TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,356.91
267,DHN,Dothan Regional,Dothan,AL,415.34
268,HVN,Tweed New Haven,New Haven,CT,247.48
269,LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,282.45
270,SUX,Sioux Gateway Brig Gen Bud Day Field,Sioux City,IA,299.82
271,VLD,Valdosta Regional,Valdosta,GA,311.95
272,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,330.15
273,ALW,Walla Walla Regional,Walla Walla,WA,309.91
274,FLO,Florence Regional,Florence,SC,297.32
275,GTR,Golden Triangle Regional,Columbus,MS,373.68
276,LWS,Lewiston Nez Perce County,Lewiston,ID,321.2
277,BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,345.21
278,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,166.71
279,HDN,Yampa Valley,Hayden,CO,395.16
280,CSG,Columbus Airport,Columbus,GA,361.02
281,TXK,Texarkana Regional-Webb Field,Texarkana,AR,297.42
282,SPN,Francisco C. Ada Saipan International,Saipan,TT,874.5
283,DBQ,Dubuque Regional,Dubuque,IA,237.93
284,OTZ,Ralph Wien Memorial,Kotzebue,AK,466.18
285,ABY,Southwest Georgia Regional,Albany,GA,278.53
286,OME,Nome Airport,Nome,AK,488.43
287,HGR,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,89.93
288,BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,441.26
289,BJI,Bemidji Regional,Bemidji,MN,347.65
290,ABR,Aberdeen Regional,Aberdeen,SD,356.45
291,BQK,Brunswick Golden Isles,Brunswick,GA,333.08
292,SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,90.72
293,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,269.7
294,SWO,Stillwater Regional,Stillwater,OK,272.73
295,GGG,East Texas Regional,Longview,TX,292.52
296,COD,Yellowstone Regional,Cody,WY,404.89
297,OGS,Ogdensburg International,Ogdensburg,NY,332.71
298,CIU,Chippewa County International,Sault Ste. Marie,MI,401.42
299,STC,St. Cloud Regional,St. Cloud,MN,98.2
300,RHI,Rhinelander/Oneida County,Rhinelander,WI,374.68
301,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,409.63
302,HOB,Lea County Regional,Hobbs,NM,376.88
303,BTM,Bert Mooney,Butte,MT,418.79
304,GCC,Gillette Campbell County,Gillette,WY,378.98
305,GCK,Garden City Regional,Garden City,KS,277.1
306,BRD,Brainerd Lakes Regional,Brainerd,MN,355.18
307,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,398.96
308,ART,Watertown International,Watertown,NY,273.37
309,RKS,Southwest Wyoming Regional,Rock Springs,WY,464.73
310,ALO,Waterloo Regional,Waterloo,IA,240.14
311,DRT,Del Rio International,Del Rio,TX,296.1
312,MEI,Key Field,Meridian,MS,359.41
313,EAU,Chippewa Valley Regional,Eau Claire,WI,380.45
314,IMT,Ford,Iron Mountain/Kingsfd,MI,297.81
315,IPT,Williamsport Regional,Williamsport,PA,298.48
316,EKO,Elko Regional,Elko,NV,401.1
317,EAR,Kearney Regional,Kearney,NE,409.06
318,HIB,Range Regional,Hibbing,MN,392.98
319,LAR,Laramie Regional,Laramie,WY,380.64
320,ESC,Delta County,Escanaba,MI,304.55
321,MKG,Muskegon County,Muskegon,MI,407.75
322,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,470.75
323,CMX,Houghton County Memorial,Hancock/Houghton,MI,423.63
324,OWB,Owensboro Daviess County Regional,Owensboro,KY,104.69
325,PSG,Petersburg James A Johnson,Petersburg,AK,381.71
326,PRC,Prescott Regional Ernest A Love Field,Prescott,AZ,371.41
327,BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,440.77
328,XWA,Williston Basin International,Williston,ND,487.89
329,CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,177
330,LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,439.15
331,OGD,Ogden-Hinckley,Ogden,UT,82.09
332,PAH,Barkley Regional,Paducah,KY,397.96
333,HYS,Hays Regional,Hays,KS,345.56
334,CDV,Merle K Mudhole Smith,Cordova,AK,425.96
335,BKG,Branson Airport,Branson,MO,91.14
336,GUC,Gunnison-Crested Butte Regional,Gunnison,CO,332.2
337,APN,Alpena County Regional,Alpena,MI,421.16
338,SHD,Shenandoah Valley Regional,Staunton,VA,423.77
339,WRG,Wrangell Airport,Wrangell,AK,495.89
340,PUB,Pueblo Memorial,Pueblo,CO,337.32
341,PIR,Pierre Regional,Pierre,SD,464.08
342,SLN,Salina Regional,Salina,KS,351.88
343,INL,Falls International Einarson Field,International Falls,MN,325.25
344,VEL,Vernal Regional,Vernal,UT,468.86
345,PQI,Presque Isle International,Presque Isle/Houlton,ME,423.74
346,PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,264.09
347,CGI,Cape Girardeau Regional,Cape Girardeau,MO,529.87
348,AKN,King Salmon Airport,King Salmon,AK,485.61
349,UIN,Quincy Regional-Baldwin Field,Quincy,IL,260.8
350,ENA,Kenai Municipal,Kenai,AK,331
351,JMS,Jamestown Regional,Jamestown,ND,437.2
352,CNY,Canyonlands Field,Moab,UT,369.25
353,ATY,Watertown Regional,Watertown,SD,471.27
354,DLG,Dillingham Airport,Dillingham,AK,433.19
355,OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,313.19
356,LBL,Liberal Mid-America Regional,Liberal,KS,370.09
357,YAK,Yakutat Airport,Yakutat,AK,566.48
358,MKK,Molokai,Hoolehua,HI,120.67
359,HYA,Barnstable Municipal-Boardman/Polando Field,Hyannis,MA,282.5
360,DVL,Devils Lake Regional,Devils Lake,ND,377.5
361,LWB,Greenbrier Valley,Lewisburg,WV,334.09
362,LNY,Lanai Airport,Lanai,HI,270.09
363,WYS,Yellowstone,West Yellowstone,MT,283.65
364,LEB,Lebanon Municipal,Lebanon-Hanover,NH,1120.5
365,MWA,Veterans Airport of Southern Illinois,Marion/Herrin,IL,340.93
366,AUG,Augusta State,Augusta/Waterville,ME,803.5
367,BHB,Hancock County-Bar Harbor,Bar Harbor,ME,468
368,GST,Gustavus Airport,Gustavus,AK,188.25
369,VCT,Victoria Regional,Victoria,TX,486
370,ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,388.75
371,ADK,Adak,Adak Island,AK,777.6
372,DDC,Dodge City Regional,Dodge City,KS,368.18
373,RUT,Rutland - Southern Vermont Regional,Rutland,VT,289.43
374,RKD,Knox County Regional,Rockland,ME,465.5
375,CEZ,Cortez Municipal,Cortez,CO,401.78
375,IRK,Kirksville Regional,Kirksville,MO,299.67
377,DEC,Decatur Airport,Decatur,IL,324.67
378,SHR,Sheridan County,Sheridan,WY,424.18
379,SLK,Adirondack Regional,Saranac Lake/Lake Placid,NY,219
380,DUJ,DuBois Regional,DuBois,PA,368.2
381,RIW,Riverton Regional,Riverton/Lander,WY,476.35
382,MAZ,Eugenio Maria de Hostos,Mayaguez,PR,270.11
383,MGW,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,WV,273
384,MCK,McCook Ben Nelson Regional,McCook,NE,325
385,BFD,Bradford Regional,Bradford,PA,388.5
385,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,414.5
387,VQS,Antonio Rivera Rodriguez,Vieques,PR,335
388,PDT,Eastern Oregon Regional at Pendleton,Pendleton,OR,460
