Date,Open,High,Low,Close,Adj Close,Volume
2016-09-21,5.420000,5.460000,5.370000,5.420000,5.078108,13223400
2016-09-22,5.500000,5.530000,5.430000,5.460000,5.115584,15062000
2016-09-23,5.460000,5.530000,5.430000,5.450000,5.106215,4543826
2016-09-26,5.480000,5.480000,5.320000,5.370000,5.031262,5216294
2016-09-27,5.330000,5.430000,5.330000,5.400000,5.059370,6410585
2016-09-28,5.370000,5.380000,5.310000,5.340000,5.003155,7652029
2016-09-29,5.350000,5.380000,5.310000,5.350000,5.012523,9656213
2016-09-30,5.300000,5.330000,5.200000,5.210000,4.881354,19391608
2016-10-03,5.280000,5.410000,5.250000,5.370000,5.031262,12502313
2016-10-04,5.410000,5.410000,5.290000,5.350000,5.012523,11088000
2016-10-05,5.360000,5.360000,5.220000,5.270000,4.937570,11073259
2016-10-06,5.280000,5.380000,5.230000,5.310000,4.975047,10555389
2016-10-07,5.340000,5.450000,5.320000,5.410000,5.068738,7580000
2016-10-11,5.450000,5.450000,5.280000,5.320000,4.984416,19782000
2016-10-12,5.300000,5.330000,5.210000,5.240000,4.909462,12507460
2016-10-13,5.220000,5.250000,5.020000,5.060000,4.740817,31228462
2016-10-14,5.110000,5.150000,5.100000,5.140000,4.815771,9776000
2016-10-17,5.100000,5.180000,5.050000,5.070000,4.750186,13412000
2016-10-18,5.020000,5.170000,5.020000,5.150000,4.825139,9982211
2016-10-19,5.170000,5.320000,5.150000,5.280000,4.946939,15678000
2016-10-20,5.330000,5.330000,5.190000,5.210000,4.881354,6569552
2016-10-21,5.210000,5.210000,5.210000,5.210000,4.881354,0
2016-10-24,5.290000,5.290000,5.160000,5.210000,4.881354,7758234
2016-10-25,5.160000,5.240000,5.140000,5.190000,4.862617,7348483
2016-10-26,5.220000,5.220000,5.110000,5.160000,4.834509,7266000
2016-10-27,5.190000,5.200000,5.070000,5.130000,4.806401,7616000
2016-10-28,5.160000,5.170000,5.060000,5.100000,4.778293,12956084
2016-10-31,5.200000,5.200000,5.060000,5.100000,4.778293,10868645
2016-11-01,5.160000,5.220000,5.070000,5.070000,4.750186,16462000
2016-11-02,5.080000,5.120000,5.050000,5.090000,4.768924,8856769
2016-11-03,5.090000,5.130000,5.080000,5.110000,4.787663,10622720
2016-11-04,5.090000,5.180000,5.060000,5.180000,4.853246,8951592
2016-11-07,5.170000,5.240000,5.140000,5.220000,4.890724,7944716
2016-11-08,5.320000,5.320000,5.160000,5.200000,4.871985,5480480
2016-11-09,5.220000,5.250000,4.990000,5.110000,4.787663,12993842
2016-11-10,5.140000,5.150000,5.070000,5.080000,4.759555,8442800
2016-11-11,5.070000,5.110000,5.000000,5.050000,4.731448,11962375
2016-11-14,5.020000,5.060000,4.940000,5.000000,4.684601,9399080
2016-11-15,5.020000,5.170000,5.020000,5.100000,4.778293,21120000
2016-11-16,5.120000,5.170000,5.030000,5.030000,4.712709,10464000
2016-11-17,5.030000,5.140000,5.030000,5.050000,4.731448,13295000
2016-11-18,5.050000,5.120000,5.030000,5.050000,4.731448,9934143
2016-11-21,5.070000,5.120000,5.030000,5.030000,4.712709,11136823
2016-11-22,5.020000,5.120000,5.020000,5.070000,4.750186,6433400
2016-11-23,5.060000,5.140000,5.040000,5.040000,4.722078,6472623
2016-11-24,5.070000,5.110000,5.010000,5.090000,4.768924,6566736
2016-11-25,5.100000,5.190000,5.080000,5.150000,4.825139,9169639
2016-11-28,5.170000,5.200000,5.140000,5.170000,4.843878,7859500
2016-11-29,5.130000,5.300000,5.130000,5.230000,4.900093,14540587
2016-11-30,5.320000,5.400000,5.270000,5.320000,4.984416,18942563
2016-12-01,5.300000,5.300000,5.210000,5.270000,4.937570,14748294
2016-12-02,5.210000,5.330000,5.210000,5.230000,4.900093,7400485
2016-12-05,5.180000,5.220000,5.150000,5.180000,4.853246,8070362
2016-12-06,5.250000,5.270000,5.160000,5.180000,4.853246,7144500
2016-12-07,5.230000,5.300000,5.200000,5.260000,4.928201,9561942
2016-12-08,5.290000,5.340000,5.210000,5.240000,4.909462,7643674
2016-12-09,5.260000,5.260000,5.140000,5.200000,4.871985,9548806
2016-12-12,5.220000,5.220000,5.000000,5.090000,4.768924,20160000
2016-12-13,5.090000,5.120000,5.030000,5.100000,4.778293,9403717
2016-12-14,5.110000,5.150000,5.030000,5.040000,4.722078,12454950
2016-12-15,5.030000,5.040000,4.970000,4.990000,4.675232,12092300
2016-12-16,5.000000,5.080000,4.980000,5.030000,4.712709,8088547
2016-12-19,4.970000,5.070000,4.970000,5.030000,4.712709,5967330
2016-12-20,5.050000,5.050000,4.960000,5.000000,4.684601,6087904
2016-12-21,5.000000,5.200000,4.970000,5.130000,4.806401,18404548
2016-12-22,5.160000,5.200000,5.050000,5.050000,4.731448,8222236
2016-12-23,5.020000,5.100000,5.010000,5.020000,4.703340,6664000
2016-12-28,5.040000,5.050000,4.900000,4.920000,4.609648,14754205
2016-12-29,4.910000,4.960000,4.890000,4.920000,4.609648,8014873
2016-12-30,4.960000,5.030000,4.930000,4.950000,4.637755,5754000
2017-01-03,5.000000,5.040000,4.940000,5.020000,4.703340,2776725
2017-01-04,5.040000,5.060000,4.980000,5.040000,4.722078,4710700
2017-01-05,5.060000,5.140000,5.060000,5.110000,4.787663,9891566
2017-01-06,5.120000,5.140000,5.060000,5.110000,4.787663,6347920
2017-01-09,5.110000,5.130000,5.040000,5.090000,4.768924,3246000
2017-01-10,5.100000,5.220000,5.090000,5.180000,4.853246,12056912
2017-01-11,5.180000,5.210000,5.120000,5.170000,4.843878,6161171
2017-01-12,5.180000,5.200000,5.160000,5.190000,4.862617,7362030
2017-01-13,5.200000,5.240000,5.160000,5.210000,4.881354,11883376
2017-01-16,5.220000,5.230000,5.150000,5.220000,4.890724,7209742
2017-01-17,5.230000,5.250000,5.200000,5.250000,4.918831,8744375
2017-01-18,5.270000,5.370000,5.250000,5.330000,4.993785,19430956
2017-01-19,5.350000,5.420000,5.270000,5.420000,5.078108,13714028
2017-01-20,5.320000,5.480000,5.310000,5.450000,5.106215,18398540
2017-01-23,5.450000,5.520000,5.390000,5.500000,5.153062,15725180
2017-01-24,5.510000,5.660000,5.450000,5.640000,5.284230,21096000
2017-01-25,5.650000,5.680000,5.600000,5.680000,5.321707,16579316
2017-01-26,5.680000,5.700000,5.600000,5.680000,5.321707,7938956
2017-01-27,5.650000,5.650000,5.560000,5.600000,5.246754,1542900
2017-02-01,5.490000,5.550000,5.310000,5.530000,5.181169,8915129
2017-02-02,5.510000,5.550000,5.420000,5.420000,5.078108,5196335
2017-02-03,5.420000,5.520000,5.390000,5.450000,5.106215,6436490
2017-02-06,5.450000,5.480000,5.400000,5.410000,5.068738,7792000
2017-02-07,5.410000,5.500000,5.380000,5.410000,5.068738,6455826
2017-02-08,5.410000,5.580000,5.320000,5.560000,5.209277,14935984
2017-02-09,5.550000,5.690000,5.530000,5.680000,5.321707,16244000
2017-02-10,5.680000,5.720000,5.620000,5.690000,5.331077,10218000
2017-02-13,5.690000,5.800000,5.690000,5.780000,5.415399,11175345
2017-02-14,5.770000,5.820000,5.660000,5.790000,5.424768,12019413
2017-02-15,5.840000,5.840000,5.700000,5.760000,5.396661,16995063
2017-02-16,5.790000,5.840000,5.710000,5.840000,5.471615,14703869
2017-02-17,5.830000,6.030000,5.750000,5.760000,5.396661,20094950
2017-02-20,5.860000,5.970000,5.860000,5.890000,5.518460,10518567
2017-02-21,5.950000,6.010000,5.800000,5.870000,5.499722,19928306
2017-02-22,5.910000,6.000000,5.910000,5.950000,5.574676,19998068
2017-02-23,5.930000,5.990000,5.900000,5.970000,5.593413,16661065
2017-02-24,5.970000,6.160000,5.860000,6.090000,5.705845,37818466
2017-02-27,6.050000,6.050000,5.880000,6.000000,5.621522,14364381
2017-02-28,6.000000,6.020000,5.930000,5.990000,5.612152,12474427
2017-03-01,5.960000,6.110000,5.950000,6.060000,5.677737,14030768
2017-03-02,5.980000,6.100000,5.930000,5.970000,5.593413,10694000
2017-03-03,5.930000,5.930000,5.740000,5.770000,5.406030,20850552
2017-03-06,5.760000,5.910000,5.750000,5.890000,5.518460,10821673
2017-03-07,5.870000,5.950000,5.850000,5.890000,5.518460,5235640
2017-03-08,5.870000,5.940000,5.760000,5.800000,5.434138,12096501
2017-03-09,5.850000,5.900000,5.630000,5.650000,5.293600,19583148
2017-03-10,5.680000,5.790000,5.670000,5.750000,5.387292,15770033
2017-03-13,5.790000,6.030000,5.770000,5.970000,5.593413,18009568
2017-03-14,5.930000,6.050000,5.930000,6.030000,5.649630,10204596
2017-03-15,6.050000,6.280000,6.030000,6.220000,5.827644,28837525
2017-03-16,6.300000,6.400000,6.210000,6.400000,5.996290,17416495
2017-03-17,6.400000,6.410000,6.220000,6.260000,5.865121,14527608
2017-03-20,6.260000,6.340000,6.120000,6.240000,5.846382,10758000
2017-03-21,6.260000,6.410000,6.260000,6.390000,5.986920,10850000
2017-03-22,6.300000,6.380000,6.180000,6.300000,5.902598,14194562
2017-03-23,6.350000,6.620000,6.350000,6.520000,6.108720,22610239
2017-03-24,6.580000,6.670000,6.450000,6.570000,6.155567,12038292
2017-03-27,6.570000,6.580000,6.440000,6.480000,6.071243,9482753
2017-03-28,6.510000,6.570000,6.390000,6.470000,6.061874,12704000
2017-03-29,6.560000,6.560000,6.370000,6.450000,6.043136,9739925
2017-03-30,6.600000,6.600000,6.280000,6.310000,5.911967,8719248
2017-03-31,6.200000,6.310000,6.180000,6.290000,5.893229,7996085
2017-04-03,6.340000,6.490000,6.240000,6.380000,5.977551,9029080
2017-04-05,6.250000,6.430000,6.220000,6.370000,5.968182,16417700
2017-04-06,6.350000,6.600000,6.290000,6.570000,6.155567,13488100
2017-04-07,6.570000,7.070000,6.460000,7.040000,6.595918,33254789
2017-04-10,7.100000,7.100000,6.840000,6.880000,6.446012,15631878
2017-04-11,6.860000,6.930000,6.790000,6.860000,6.427273,16616575
2017-04-12,6.810000,6.930000,6.810000,6.870000,6.436642,9299914
2017-04-13,6.810000,6.960000,6.790000,6.890000,6.455380,4938000
2017-04-18,6.890000,6.940000,6.660000,6.680000,6.258627,8467195
2017-04-19,6.620000,6.630000,6.220000,6.460000,6.052505,27963550
2017-04-20,6.540000,6.550000,6.460000,6.520000,6.108720,10507490
2017-04-21,6.500000,6.640000,6.490000,6.600000,6.183674,11030404
2017-04-24,6.730000,6.970000,6.560000,6.890000,6.455380,13515874
2017-04-25,6.900000,6.960000,6.730000,6.770000,6.342950,7584369
2017-04-26,6.770000,6.860000,6.730000,6.770000,6.342950,8336813
2017-04-27,6.790000,6.900000,6.750000,6.840000,6.408535,6802000
2017-04-28,6.830000,6.910000,6.530000,6.890000,6.455380,12619000
2017-05-02,6.860000,6.880000,6.740000,6.800000,6.371058,12014000
2017-05-04,6.750000,6.840000,6.700000,6.800000,6.371058,11446675
2017-05-05,6.830000,7.120000,6.740000,6.790000,6.361689,14444000
2017-05-08,6.840000,6.950000,6.820000,6.890000,6.455380,5388679
2017-05-09,6.880000,7.200000,6.880000,7.160000,6.708350,15032728
2017-05-10,7.090000,7.410000,7.090000,7.190000,6.736457,10753888
2017-05-11,7.090000,7.140000,6.960000,7.100000,6.652134,8736153
2017-05-12,7.050000,7.170000,6.970000,7.080000,6.633396,8913642
2017-05-15,7.080000,7.320000,7.080000,7.220000,6.764565,9710000
2017-05-16,7.190000,7.230000,7.010000,7.200000,6.745826,8408570
2017-05-17,7.140000,7.330000,7.050000,7.280000,6.820780,6321495
2017-05-18,7.200000,7.260000,7.120000,7.200000,6.745826,7439000
2017-05-19,7.150000,7.200000,7.030000,7.110000,6.661503,14416245
2017-05-22,7.080000,7.270000,6.990000,7.150000,6.698981,10379231
2017-05-23,7.100000,7.230000,7.030000,7.120000,6.670872,5704600
2017-05-24,7.100000,7.150000,6.970000,7.100000,6.652134,10306134
2017-05-25,7.070000,7.200000,7.040000,7.160000,6.708350,5314261
2017-05-26,7.200000,7.840000,7.200000,7.410000,6.942580,10759799
2017-05-29,7.420000,7.610000,7.460000,7.590000,7.111225,7953384
2017-05-31,7.510000,7.600000,7.370000,7.410000,7.042520,10509603
2017-06-01,7.460000,8.060000,7.440000,8.000000,7.603261,29442629
2017-06-02,8.010000,8.050000,7.810000,7.850000,7.460700,7898964
2017-06-05,7.900000,8.000000,7.790000,7.870000,7.479708,7593997
