Date,Total Traveler Throughput,Total Traveler Throughput (1 Year Ago - Same Weekday)
6/14/20,"544,046","2,642,083"
6/13/20,"437,119","2,318,946"
6/12/20,"519,304","2,727,860"
6/11/20,"502,209","2,675,686"
6/10/20,"386,969","2,509,058"
6/9/20,"338,382","2,433,189"
6/8/20,"430,414","2,644,981"
6/7/20,"441,255","2,669,860"
6/6/20,"353,016","2,225,952"
6/5/20,"419,675","2,649,808"
6/4/20,"391,882","2,623,947"
6/3/20,"304,436","2,370,152"
6/2/20,"267,742","2,247,421"
6/1/20,"353,261","2,499,002"
5/31/20,"352,947","2,555,578"
5/30/20,"268,867","2,117,180"
5/29/20,"327,133","2,570,613"
5/28/20,"321,776","2,485,770"
5/27/20,"261,170","2,269,035"
5/26/20,"264,843","2,453,649"
5/25/20,"340,769","2,512,237"
5/24/20,"267,451","2,070,716"
5/23/20,"253,190","2,124,825"
5/22/20,"348,673","2,792,670"
5/21/20,"318,449","2,673,635"
5/20/20,"230,367","2,472,123"
5/19/20,"190,477","2,312,727"
5/18/20,"244,176","2,615,691"
5/17/20,"253,807","2,620,276"
5/16/20,"193,340","2,091,116"
5/15/20,"250,467","2,664,549"
5/14/20,"234,928","2,611,324"
5/13/20,"176,667","2,343,675"
5/12/20,"163,205","2,191,387"
5/11/20,"215,645","2,512,315"
5/10/20,"200,815","2,419,114"
5/9/20,"169,580","1,985,942"
5/8/20,"215,444","2,602,631"
5/7/20,"190,863","2,555,342"
5/6/20,"140,409","2,270,662"
5/5/20,"130,601","2,106,597"
5/4/20,"163,692","2,470,969"
5/3/20,"170,254","2,512,598"
5/2/20,"134,261","1,968,278"
5/1/20,"171,563","2,546,029"
4/30/20,"154,695","2,499,461"
4/29/20,"119,629","2,256,442"
4/28/20,"110,913","2,102,068"
4/27/20,"119,854","2,412,770"
4/26/20,"128,875","2,506,809"
4/25/20,"114,459","1,990,464"
4/24/20,"123,464","2,521,897"
4/23/20,"111,627","2,526,961"
4/22/20,"98,968","2,254,209"
4/21/20,"92,859","2,227,475"
4/20/20,"99,344","2,594,171"
4/19/20,"105,382","2,356,802"
4/18/20,"97,236","1,988,205"
4/17/20,"106,385","2,457,133"
4/16/20,"95,085","2,616,158"
4/15/20,"90,784","2,317,381"
4/14/20,"87,534","2,208,688"
4/13/20,"102,184","2,484,580"
4/12/20,"90,510","2,446,801"
4/11/20,"93,645","2,059,142"
4/10/20,"108,977","2,590,499"
4/9/20,"104,090","2,487,398"
4/8/20,"94,931","2,229,276"
4/7/20,"97,130","2,091,056"
4/6/20,"108,310","2,384,091"
4/5/20,"122,029","2,462,929"
4/4/20,"118,302","2,011,715"
4/3/20,"129,763","2,476,884"
4/2/20,"124,021","2,411,500"
4/1/20,"136,023","2,151,626"
3/31/20,"146,348","2,026,256"
3/30/20,"154,080","2,360,053"
3/29/20,"180,002","2,510,294"
3/28/20,"184,027","2,172,920"
3/27/20,"199,644","2,538,384"
3/26/20,"203,858","2,487,162"
3/25/20,"239,234","2,273,811"
3/24/20,"279,018","2,151,913"
3/23/20,"331,431","2,434,370"
3/22/20,"454,516","2,542,643"
3/21/20,"548,132","2,227,181"
3/20/20,"593,167","2,559,307"
3/19/20,"620,883","2,513,231"
3/18/20,"779,631","2,320,885"
3/17/20,"953,699","2,177,929"
3/16/20,"1,257,823","2,465,709"
3/15/20,"1,519,192","2,545,742"
3/14/20,"1,485,553","2,274,658"
3/13/20,"1,714,372","2,634,215"
3/12/20,"1,788,456","2,503,924"
3/11/20,"1,702,686","2,187,298"
3/10/20,"1,617,220","2,122,898"
3/9/20,"1,909,363","2,378,673"
3/8/20,"2,119,867","2,485,430"
3/7/20,"1,844,811","2,156,262"
3/6/20,"2,198,517","2,543,689"
3/5/20,"2,130,015","2,402,692"
3/4/20,"1,877,401","2,143,619"
3/3/20,"1,736,393","1,979,558"
3/2/20,"2,089,641","2,257,920"
3/1/20,"2,280,522","2,301,439"
